ablation,total_return_mean,total_return_std,annualized_return_mean,annualized_return_std,sharpe_ratio_mean,sharpe_ratio_std,sortino_ratio_mean,sortino_ratio_std,max_drawdown_mean,max_drawdown_std,calmar_ratio_mean,calmar_ratio_std,win_rate_mean,win_rate_std,turnover_mean,turnover_std,num_trades_mean,num_trades_std
full,-0.05535,0.09951,-0.05615,0.10098,-0.7302,1.3947,-1.05798,2.27643,-0.12114,0.07328,-0.14192,1.09073,0.67109,0.06084,8.97224,3.28704,399.8,108.49286
random_prices,-0.04698,0.02748,-0.04772,0.0279,-1.1943,0.65813,-1.76502,0.95136,-0.06206,0.02019,-0.71886,0.25386,0.60382,0.0493,13.4457,2.45409,612.0,110.34038
