total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,turnover,num_trades,seed,fold_id,ablation
-0.038756551398646845,-0.03936918868774719,-0.6611278450519656,-1.0096042948756947,-0.08924731629788182,-0.4411246222389947,0.7385321100917431,12.622220989009174,509.0,42.0,fold_1,full
-0.07012153408714057,-0.07121127328317334,-1.5510232872254512,-2.3376256639335202,-0.08270823249313095,-0.8609937745808744,0.6717171717171717,11.50795055280152,470.0,123.0,fold_1,full
0.06677433598963398,0.0678871048755636,1.2694170388307884,2.270589998518478,-0.039513402181152554,1.718077946422568,0.5725806451612904,6.814934957329753,326.0,456.0,fold_1,full
-0.026460929487685827,-0.026881930523260933,-0.2759006782583116,-0.40222791609182995,-0.17744139873706002,-0.15149751250042662,0.6795580110497238,9.270898527255403,445.0,789.0,fold_1,full
-0.2082039032644263,-0.211179682599704,-2.4323747624858547,-3.8110248078532085,-0.21680206725890588,-0.9740667387064735,0.693069306930693,4.645205129605428,249.0,2024.0,fold_1,full
-0.012219163133214533,-0.012415017959288899,-0.2867400184551007,-0.4042188402611284,-0.04260239743755027,-0.29141594619147304,0.6043956043956044,11.609148799794367,633.0,42.0,fold_1,random_prices
-0.03293854121914483,-0.03346081967259684,-0.7379528075527696,-1.1557894124552315,-0.047555548536012925,-0.7036154708058427,0.6450511945392492,15.986412651014717,649.0,123.0,fold_1,random_prices
-0.051332853231239275,-0.052138836158115764,-1.5439280817469339,-2.336757042197568,-0.06020246117389851,-0.8660582165820352,0.5260663507109005,10.32971756525045,496.0,456.0,fold_1,random_prices
-0.051768220381968606,-0.05258084787183903,-1.5225176784871182,-2.2486700897208034,-0.06592263289244321,-0.7976144999795122,0.5959885386819485,15.558321510390007,767.0,789.0,fold_1,random_prices
-0.08664848778416909,-0.08798269178609575,-1.8803381549825313,-2.679660077346047,-0.09403862165170435,-0.9356016734481897,0.6475770925110133,13.74488932990257,515.0,2024.0,fold_1,random_prices
